variable,description,output,colour,pct_lo,pct_hi,swing,nom_val,lo_val,hi_val
G_gas,Flue gas superficial mass flux,capture_rate,#6A1B9A,0.22703592067590384,-5.217636687313522,5.4446726079894265,1.2,0.96,1.35
G_gas,Flue gas superficial mass flux,E_specific_GJ,#6A1B9A,2.961107367549547,-0.8178334992386602,3.778940866788207,1.2,0.96,1.35
L_liq,Lean solvent circulation rate,capture_rate,#1565C0,-15.797885656258199,0.21051233341979658,16.008397989677995,5.0,4.0,6.0
L_liq,Lean solvent circulation rate,E_specific_GJ,#1565C0,-1.9999419347974625,3.7338518742431446,5.733793809040607,5.0,4.0,6.0
y_CO₂,Flue gas CO₂ inlet concentration,capture_rate,#00695C,-0.5622764735017638,-5.073851740570941,4.511575267069177,0.13,0.10400000000000001,0.156
y_CO₂,Flue gas CO₂ inlet concentration,E_specific_GJ,#00695C,2.857016066485887,-1.3821106212349834,4.23912668772087,0.13,0.10400000000000001,0.156
T_L_in,Lean solvent inlet temperature,capture_rate,#E65100,1.4873756833095557,-4.1562344101994695,5.643610093509025,40.0,32.0,48.0
T_L_in,Lean solvent inlet temperature,E_specific_GJ,#E65100,-0.15316222955054498,0.45318740046738903,0.6063496300179341,40.0,32.0,48.0
α_lean,CO₂ loading of lean solvent,capture_rate,#C62828,2.0168750822134025,-22.411958592083337,24.42883367429674,0.27,0.21600000000000003,0.324
α_lean,CO₂ loading of lean solvent,E_specific_GJ,#C62828,2.4040693767016603,0.059410295178714934,2.3446590815229453,0.27,0.21600000000000003,0.324
T_ic,Mid-column intercooler setpoint,capture_rate,#0277BD,1.4674608573378607e-14,-0.01048569643451852,0.010485696434533193,38.0,30.400000000000002,45.6
T_ic,Mid-column intercooler setpoint,E_specific_GJ,#0277BD,0.0,0.001090923280162462,0.001090923280162462,38.0,30.400000000000002,45.6
